,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,dummy,startoftext,taiwan</w>,vlog</w>,|</w>,ate</w>,pot</w>,came</w>,staff</w>,followed</w>,asked</w>,follow</w>,instagram</w>,endoftext
frame_0,17562.368884682655,835.9854691661894,389.8475843016058,16218.30090880394,8367.016911506653,1750.9281169623137,22649.142891168594,1210.418762639165,114888.0124092102,4059.729166328907,524.0381578914821,5336.747504770756,17396.409064531326,108104.1619181633,2263.5632194578648,1205.0538789480925,469.9017445091158,3365.9320324659348,3696.0975266993046,450.7441772148013,70509.24003124237,54740.97281694412,122.07574036438018,46592.73102879524,1253.9990711957216,5462.5701159238815,867.2454860061407,117338.03898096085,433.51290514692664,11431.894265115261,10764.896869659424,61268.35569739342,1657.8652430325747,120621.4651465416,20440.21524488926,1627.1701315417886,1883.4738293662667,2835.7007540762424,666.9378490187228,1178.7903495132923,5449.261050671339,122466.72809123993,1445.122412405908,863.3807301521301,1343.2627310976386,184.6172526711598,113.30636334605515,309.2657425440848,23.050337404129095,843.2813338004053,1882.982673123479,170.11817544698715,505.51095046103,197.31768406927586,56.926652177935466,178.10978170018643,158.01672998350114,1368.211000226438
frame_1,11639.250442385674,4098.162986338139,602.0221626386046,21115.67370593548,46026.01379156113,16326.073557138443,8917.31958836317,1075.3889800980687,33340.88623523712,610.7430090196431,431.89231655560434,8587.616495788097,72086.55774593353,75808.50273370743,2136.0658574849367,2269.7157692164183,146.9958369852975,9741.196408867836,1793.385948985815,437.2823750600219,9267.15787500143,23082.11475610733,112.85037908237427,66265.58303833008,4160.1089760661125,1977.9272843152285,1615.7295322045684,121132.62712955475,2033.3919674158096,2963.9885760843754,16349.084675312042,118078.41062545776,353.3310955390334,95034.10011529922,23955.311626195908,710.7806159183383,3399.383742362261,44602.02530026436,524.9613313935697,4203.139804303646,2001.3381727039814,116337.96244859695,13842.815533280373,5508.165806531906,869.8954479768872,155.10336379520595,151.21547039598227,130.24303189013153,32.44764229748398,280.97175527364016,1630.502985790372,60.624064644798636,610.3912019170821,127.42553371936083,57.82247899333015,196.78892567753792,275.0017156358808,718.5025024227798
frame_2,727.5494281202555,7126.265205442905,210.34861856605858,16236.508265137672,9508.751332759857,13529.564253985882,11847.211048007011,1041.5891883894801,92212.60249614716,1472.843810915947,102.64392767567188,4417.8105890750885,45337.04370260239,17431.40071630478,2632.934134453535,15409.465879201889,400.1603228971362,17062.611877918243,834.3728259205818,566.1277682520449,121928.96008491516,9848.777204751968,138.3062917739153,80616.80942773819,1363.425049930811,4751.675762236118,223.39131101034582,116726.62198543549,207.10896933451295,41876.643896102905,11546.407826244831,13511.555269360542,1300.048315897584,93151.5023112297,22476.889193058014,1268.3067470788956,10310.221463441849,4791.744984686375,1003.9461776614189,654.5998039655387,72199.24032688141,108036.8459224701,13436.540961265564,5826.358683407307,277.1470753941685,59.58489055046812,41.836912714643404,57.19458204112016,14.5650210470194,256.5268659964204,434.1674502938986,30.090479413047433,118.85436833836138,117.72298603318632,21.347444999264553,238.9746077824384,106.69587936718017,2921.558450907469
frame_3,7644.1690325737,1101.0896414518356,182.5963845476508,14600.586146116257,4500.366747379303,43621.84926867485,14676.647260785103,573.3686266466975,121513.15808296204,175.92810036148876,302.6767517440021,13633.349910378456,144534.67726707458,4881.7521892488,1126.9908864051104,2463.1330743432045,109.77037891279906,28539.23663496971,570.522272028029,2682.1012143045664,11037.94015944004,15060.040168464184,41.093877371167764,34845.66882252693,10390.792042016983,1226.8231948837638,1300.528645515442,119801.20092630386,7889.037020504475,5737.237632274628,5981.99013620615,118436.43337488174,27685.95516681671,22038.020193576813,64403.21356058121,1998.2289522886276,2960.016019642353,698.1652113609016,438.3316554594785,4534.146282821894,8981.447666883469,97304.01635169983,19582.152366638184,4997.698124498129,2485.3134527802467,100.56651808554307,48.163692554226145,100.72063014376909,20.904402845189907,316.75928039476275,563.8030706904829,30.905699532013386,314.14497061632574,187.38891230896115,32.378273317590356,210.5270541505888,259.07671079039574,525.217386893928
frame_4,6169.659085571766,3031.4791947603226,259.29551338776946,18781.527876853943,2022.234257310629,78683.59982967377,12340.51026403904,2394.4745771586895,115994.75145339966,1725.720940157771,125.63480413518846,5023.77562224865,89338.7645483017,4905.139096081257,2565.056085586548,1542.2875294461846,433.94207023084164,8780.615404248238,1058.385125361383,493.07639710605145,89796.45371437073,6990.193389356136,585.6836214661598,102303.86257171631,1322.5616421550512,2269.5655934512615,1309.034531004727,104850.72433948517,3311.5693368017673,16239.557415246964,21396.290510892868,53350.60507059097,4760.799929499626,36087.45336532593,15025.01592040062,2588.8895615935326,504.57241013646126,6526.577286422253,171.13567446358502,1074.4379833340645,40150.54553747177,119235.44108867645,3896.6075517237186,2017.6612306386232,1057.4720799922943,196.31216127891093,215.76095605269074,481.41961451619864,57.91040894109756,507.4567161500454,2268.8545286655426,138.67925736121833,383.3026858046651,232.28749341797084,82.86890079034492,527.93906070292,516.2338493391871,1898.3040936291218
frame_5,1875.5816854536533,3164.744470268488,360.4629309847951,1539.201010018587,47642.10060238838,8396.809920668602,15573.842450976372,3091.210499405861,73215.03758430481,862.0340959168971,5861.4038862288,112.70795221207663,65964.68389034271,2137.0078902691603,197.22541037481278,1850.4101317375898,493.87128092348576,8500.679396092892,11416.435241699219,28469.141572713852,134677.26111412048,1211.8497397750616,303.37207135744393,110785.29059886932,1273.1573078781366,2676.0452892631292,39.99734326498583,64713.38868141174,2748.1294237077236,2783.149713650346,2137.6502700150013,49718.53271126747,12446.609325706959,102096.78113460541,11102.70619392395,3681.05573579669,991.1754168570042,2904.654713347554,3259.479533880949,235.3175077587366,58246.128261089325,117208.3169221878,786.5069201216102,137.30044884141535,18815.847113728523,203.04525969550014,105.75279884506017,170.93853966798633,111.16490350104868,1875.9798258543015,2582.1018498390913,843.4482733719051,552.3414583876729,241.62791669368744,63.4006573818624,1567.96770170331,216.6839549317956,5761.247128248215
frame_6,3185.490146279335,2489.355858415365,634.780153632164,25123.538449406624,20825.68034529686,24117.96897649765,14101.918786764145,1048.738369718194,101469.15167570114,350.6639041006565,66.04575173696503,4996.446892619133,59252.262115478516,63433.79616737366,22787.539288401604,1464.930595830083,159.53645925037563,3027.1403957158327,1254.4094352051616,144.62554827332497,10388.948954641819,724.9180343933403,155.3906186018139,100274.24991130829,756.5072737634182,432.81872058287263,459.182308986783,121164.02387619019,1802.2013828158379,23433.40776860714,6175.817921757698,112507.79032707214,200.7578150369227,68393.11122894287,18683.090806007385,291.97067487984896,1193.8465759158134,2708.225976675749,204.2693377006799,4182.388074696064,15982.059761881828,122469.35069561005,29998.671263456345,2683.997619897127,338.6979806236923,131.65788550395519,62.33465683180839,142.29478256311268,27.240655981586315,423.66463458165526,380.5742599070072,34.99287413433194,329.690461512655,151.81477647274733,48.58766988036223,357.6336312107742,95.66330845700577,2274.145605042577
frame_7,4397.698678076267,1789.9537924677134,1683.4046691656113,23908.168077468872,17888.955771923065,19652.966409921646,4091.015085577965,1222.72118460387,82302.49583721161,560.2843593806028,201.7903607338667,7615.627255290747,27192.581444978714,93739.815056324,11952.197179198265,4588.905721902847,841.0277077928185,11201.276443898678,2209.991682320833,248.77971736714244,110357.3590517044,2846.292918547988,169.43414811976254,63010.8118057251,490.6471585854888,1433.6634194478393,1330.4490130394697,122269.1759467125,17585.866153240204,14316.78980588913,8814.370259642601,20120.62817811966,470.54176684468985,86775.79462528229,58413.13675045967,928.5637643188238,1778.3872317522764,9457.403793931007,224.4143106509,2483.364660292864,13472.458347678185,115462.46707439423,5737.3964227736,16085.192561149597,1536.056981422007,537.6957124099135,54.9863871128764,725.9437697939575,26.920621166937053,289.55054585821927,1307.912520132959,59.9020640947856,299.1511719301343,296.46497569046915,84.78175004711375,675.3087509423494,226.62297124043107,2554.436447098851
frame_8,9125.560522079468,1804.4336466118693,407.8202764503658,8648.169226944447,4539.4995249807835,5015.50268381834,15138.665214180946,1572.5622652098536,120916.4559841156,1327.6662211865187,156.93521709181368,1735.4198498651385,119714.14089202881,19395.386800169945,690.2439054101706,438.8374509289861,1169.6360306814313,11361.604556441307,1253.2611144706607,436.0928141977638,37487.491965293884,8217.325434088707,410.7801360078156,67599.24441576004,613.7476302683353,2740.996889770031,618.1407370604575,109471.3807106018,2679.3680153787136,8187.621831893921,13386.673294007778,108058.25889110565,619.9480267241597,115928.50089073181,43357.618153095245,840.6550623476505,995.2139807865024,950.2599714323878,516.8431671336293,3506.201785057783,22688.686847686768,114452.39186286926,1698.839128948748,2445.329213514924,1235.2768098935485,366.77627940662205,225.237148697488,314.2341738566756,105.10914580663666,565.5731074512005,890.8808813430369,169.6077815722674,569.3485727533698,348.97125442512333,100.41857603937387,634.4157736748457,380.0161648541689,1774.7065285220742
frame_9,3729.879856109619,9979.883208870888,248.4709839336574,41182.33174085617,4108.530934900045,33311.858773231506,24484.20599102974,680.1828858442605,110663.56301307678,2084.289910271764,223.22974109556526,2055.7078532874584,67357.30171203613,20848.840475082397,3687.3207427561283,1629.7458205372095,242.4668346066028,8266.325108706951,1064.3093846738338,226.93263599649072,56486.36817932129,5151.412915438414,115.71624781936407,73955.50608634949,247.26198171265423,3080.4669950157404,239.03054534457624,118027.26984024048,1306.0584897175431,12723.096646368504,17574.744299054146,74810.04297733307,316.0814521834254,62034.960836172104,30826.669186353683,1354.2084489017725,4124.488215893507,3147.7753072977066,271.7362658586353,521.3762051425874,38969.06226873398,116917.31214523315,27369.08756196499,7086.853496730328,3609.2055961489677,280.0079237204045,59.474714362295344,526.7424276098609,10.04894875222817,117.89956624852493,674.9326130375266,49.74015973857604,233.55710436590016,213.68371380958706,13.927000509283971,424.3256407789886,95.24257620796561,959.256780333817
