,startoftext,person</w>,person</w>,share</w>,kisses</w>,endoftext
frame_0,618740.0817871094,541538.5365486145,600370.466709137,567661.3450050354,708661.9138717651,672271.5497016907
frame_1,680464.5657539368,564570.8441734314,513247.7283477783,565201.5209197998,667997.3006248474,717761.9338035583
frame_2,720956.8023681641,583490.8485412598,575783.7295532227,585201.4422416687,604521.632194519,639289.4983291626
frame_3,731010.1985931396,575652.7185440063,570270.4191207886,585587.7995491028,582341.194152832,664381.5636634827
frame_4,630267.0240402222,580846.6672897339,540995.8958625793,537207.4842453003,709646.8210220337,710280.0607681274
frame_5,676590.9194946289,604423.9401817322,519618.4515953064,595512.5093460083,700022.6974487305,613075.315952301
frame_6,630671.7395782471,623490.3335571289,543209.969997406,624528.1100273132,627562.5824928284,659781.1579704285
frame_7,640300.989151001,516028.7618637085,514715.0754928589,527984.2615127563,718608.9754104614,724495.1128959656
frame_8,627076.6258239746,587866.2467002869,608570.8737373352,593084.0969085693,641626.77526474,651019.275188446
frame_9,624233.4246635437,576903.8200378418,560149.5504379272,616340.6372070312,586420.4168319702,678085.1483345032
frame_10,634254.0383338928,563931.2267303467,539684.4148635864,555876.0762214661,618240.7140731812,730146.586894989
frame_11,700530.3502082825,654391.9444084167,576637.2680664062,628433.108329773,578802.9432296753,570448.2793807983
frame_12,664872.5271224976,630814.9099349976,568085.0744247437,564340.2934074402,677810.6689453125,603320.3601837158
frame_13,642861.008644104,633582.7112197876,560289.9193763733,611299.8723983765,609328.6871910095,651881.6947937012
frame_14,607493.9966201782,605360.1503372192,555514.3356323242,558975.5773544312,639848.2322692871,674940.824508667
frame_15,638286.828994751,547061.026096344,544430.0770759583,555003.7622451782,621512.234210968,735839.1284942627
frame_16,662206.768989563,583634.0188980103,567310.2140426636,582181.6921234131,579205.6322097778,667594.7308540344
frame_17,644611.0606193542,621536.6125106812,586037.9934310913,586633.2054138184,615046.3819503784,588267.8031921387
frame_18,629211.962223053,599044.2633628845,553462.9821777344,636378.1094551086,609974.5035171509,614061.2363815308
frame_19,708700.8953094482,532737.135887146,543876.8267631531,607789.158821106,633400.4402160645,615628.6001205444
frame_20,596097.0520973206,590394.139289856,577496.588230133,631614.9830818176,587825.6559371948,658704.6384811401
frame_21,675241.5895462036,610654.4733047485,590406.4774513245,625011.4440917969,583509.8624229431,557309.1506958008
