,startoftext,person</w>,person</w>,share</w>,kisses</w>,endoftext
frame_0,743183.970451355,505081.6535949707,540463.1495475769,536030.9481620789,597207.78465271,787276.3872146606
frame_1,772800.3263473511,504227.2210121155,578711.9269371033,583204.0309906006,564478.2781600952,705822.1697807312
frame_2,778519.2728042603,507600.66509246826,531794.1904067993,571724.0571975708,564982.4142456055,754623.1746673584
frame_3,762775.0635147095,593748.7483024597,575169.0864562988,553242.027759552,591841.2208557129,632467.6871299744
frame_4,704589.4861221313,508653.9387702942,587292.492389679,532656.4908027649,612444.6392059326,763606.84633255
frame_5,736163.854598999,523495.4357147217,551890.6116485596,530666.9473648071,601017.3559188843,766009.6883773804
frame_6,759392.6787376404,499148.33903312683,544461.4887237549,540728.3306121826,596007.8835487366,769505.1431655884
frame_7,670369.6846961975,525058.6867332458,540247.917175293,537746.0718154907,626934.289932251,741776.3471603394
frame_8,748546.7195510864,527785.7184410095,599209.189414978,597061.0976219177,559054.6727180481,677586.555480957
frame_9,769374.0129470825,512386.85846328735,510122.06077575684,519440.8893585205,527466.0587310791,803343.1172370911
frame_10,694139.838218689,482803.7917613983,519322.63374328613,491044.0742969513,633022.8447914124,821799.8743057251
frame_11,787604.8684120178,561785.101890564,557149.1718292236,518692.13581085205,550198.3165740967,733814.2395019531
frame_12,883859.395980835,486653.1193256378,520063.45987319946,492787.30154037476,587457.8952789307,738422.7514266968
frame_13,773421.4067459106,542674.8394966125,546229.7797203064,513379.2757987976,609990.7159805298,723547.9354858398
frame_14,712202.3701667786,506606.3404083252,537477.2548675537,547212.6603126526,583512.4254226685,755121.9463348389
frame_15,729030.7283401489,543775.6180763245,562267.005443573,534509.8972320557,539163.8875007629,733385.9205245972
frame_16,702438.5929107666,499910.4142189026,511328.93562316895,511460.542678833,640494.4062232971,776500.2250671387
frame_17,825417.2801971436,517084.41972732544,581652.4028778076,507212.63885498047,522833.8837623596,687932.3720932007
frame_18,766851.9020080566,512147.06897735596,521963.59634399414,582003.3550262451,601861.834526062,657305.2406311035
frame_19,748737.2159957886,552666.962146759,573750.9727478027,503509.2234611511,535641.3125991821,727827.4297714233
frame_20,775960.1473808289,488982.82647132874,506662.5475883484,527263.5817527771,644535.7799530029,698728.2037734985
frame_21,759725.9283065796,519708.87184143066,568546.2355613708,508625.5669593811,548226.4161109924,737300.0383377075
frame_22,743676.9604682922,523826.9567489624,574457.7646255493,562941.4319992065,579570.6510543823,657659.4114303589
frame_23,791969.1801071167,480964.332818985,534835.3385925293,506877.3031234741,574834.1083526611,752652.7643203735
frame_24,765138.1492614746,527584.6123695374,559005.0220489502,542332.7684402466,586325.7646560669,661746.7403411865
frame_25,662045.955657959,525461.5545272827,596064.2099380493,491506.99377059937,620042.4432754517,747012.0191574097
frame_26,724945.1875686646,528753.936290741,538719.117641449,491113.72232437134,601047.0390319824,757554.1734695435
frame_27,785023.0932235718,526923.1796264648,560918.6887741089,524941.9212341309,567154.7651290894,677171.528339386
frame_28,741084.3372344971,520872.7717399597,562417.9840087891,499104.49981689453,577934.2651367188,740719.1395759583
frame_29,783019.0658569336,491763.97919654846,561292.4695014954,492090.76166152954,584421.2770462036,729545.4740524292
frame_30,735683.2027435303,513285.45808792114,523944.4971084595,537439.9423599243,612292.5281524658,719487.4286651611
frame_31,773307.9195022583,510713.93489837646,524793.5056686401,504893.0048942566,610030.8895111084,718393.8026428223
