,startoftext,watch</w>,moment</w>,person</w>,sm,acks</w>,person</w>,endoftext
frame_0,136583.00042152405,119377.18838453293,113350.33178329468,115542.9556965828,116334.4755768776,117050.36461353302,120316.56503677368,161445.11103630066
frame_1,141207.4714899063,122905.58964014053,113128.25977802277,114165.62646627426,116357.29670524597,119493.40999126434,119426.98806524277,153315.35041332245
frame_2,144013.80717754364,118725.54570436478,113771.41624689102,113190.04744291306,117723.03283214569,124504.7077536583,119540.2592420578,148531.2134027481
frame_3,140706.71796798706,123600.37863254547,113890.43182134628,112452.00783014297,117128.85648012161,121965.47538042068,118986.13721132278,151270.00212669373
frame_4,144969.06101703644,120327.01820135117,113681.99437856674,114235.19998788834,116378.90338897705,124098.7777709961,119867.9432272911,146441.14673137665
frame_5,141369.81964111328,122926.0191321373,114591.62831306458,112938.34447860718,117480.62074184418,129239.26115036011,119057.43181705475,142396.85237407684
frame_6,137988.6418581009,120335.11698246002,116978.84649038315,115329.98830080032,116652.85378694534,123388.55862617493,119872.73395061493,149453.2972574234
frame_7,137252.8374195099,119832.44121074677,114154.17492389679,113725.84104537964,117298.57325553894,126975.46184062958,118337.69083023071,152423.00927639008
frame_8,137049.24285411835,116099.7822880745,113646.16453647614,114027.09782123566,116609.30514335632,122506.01500272751,119899.54859018326,160162.88101673126
frame_9,138952.46386528015,117121.20473384857,113772.72754907608,113472.6032614708,114892.18473434448,119181.40947818756,117322.30335474014,165285.1104736328
frame_10,139927.7299642563,119882.06952810287,113464.95151519775,112555.07171154022,115749.50814247131,121304.05008792877,117188.42387199402,159928.23243141174
frame_11,140539.64614868164,116624.15415048599,113241.30743741989,114893.98777484894,117687.74688243866,122572.48163223267,117430.76145648956,157009.94431972504
frame_12,141474.99203681946,116877.39193439484,113304.28719520569,113651.78227424622,119511.52235269547,121293.18714141846,120143.48059892654,153743.38626861572
frame_13,140785.27688980103,119054.4068813324,113704.40572500229,114794.50017213821,118720.84438800812,116807.99722671509,122532.02497959137,153600.5288362503
frame_14,142912.07492351532,121468.96868944168,114369.67551708221,114756.31594657898,119638.1151676178,120816.13391637802,120753.14670801163,145285.57658195496
frame_15,145845.9198474884,117139.39905166626,114347.6590514183,114339.26969766617,115775.89809894562,122278.25075387955,119973.46580028534,150300.10044574738
frame_16,135654.017329216,119513.02736997604,113829.42646741867,114968.71709823608,116851.50116682053,122204.28138971329,117950.50650835037,159028.47051620483
frame_17,146105.96001148224,118784.97153520584,112882.15219974518,112564.35513496399,117485.4040145874,125553.14600467682,119582.72010087967,147041.32080078125
frame_18,141754.8805475235,123165.5478477478,114444.91147994995,113782.28664398193,116247.80297279358,119062.1480345726,117984.42900180817,153557.95621871948
frame_19,140168.11549663544,118944.65237855911,113233.35766792297,112165.61496257782,115623.46667051315,121007.94166326523,119949.3482708931,158907.56249427795
frame_20,138009.60779190063,117250.63621997833,113067.53009557724,112413.48832845688,115109.93540287018,120042.18995571136,117675.49067735672,166431.09917640686
frame_21,136756.0476064682,117511.96533441544,113858.14845561981,112581.32755756378,115739.27104473114,123989.57461118698,117760.65081357956,161802.9922246933
frame_22,141020.44701576233,117955.41644096375,114042.43111610413,113170.3108549118,115579.44864034653,121959.3659043312,117579.67621088028,158692.89636611938
frame_23,137670.90439796448,121559.82106924057,113437.86865472794,112550.64606666565,115900.69532394409,121946.89363241196,120823.53979349136,156109.57145690918
frame_24,143231.63032531738,123273.44715595245,112647.55576848984,113094.78431940079,118274.81538057327,123926.02860927582,117330.6405544281,148221.12023830414
frame_25,144346.50540351868,118480.95804452896,113313.37690353394,115646.39210700989,115672.0221042633,122551.0835647583,120534.88194942474,149454.80227470398
frame_26,143085.64364910126,117044.72452402115,113359.99518632889,113386.98863983154,116428.46465110779,120776.65328979492,119654.53624725342,156262.94910907745
