,startoftext,person</w>,person</w>,share</w>,kisses</w>,endoftext
frame_0,181993.57390403748,60059.66663360596,99336.60924434662,166133.26966762543,148520.3057527542,343956.5300941467
frame_1,183924.42166805267,108922.78701066971,150189.90635871887,90657.75573253632,180740.98229408264,285564.124584198
frame_2,179203.68909835815,122969.38896179199,134447.6342201233,123316.36250019073,142988.69669437408,297074.19872283936
frame_3,242987.90097236633,90627.23815441132,142707.40747451782,127736.80686950684,141169.51823234558,254771.11339569092
frame_4,260412.72282600403,69270.47669887543,97586.88509464264,99937.18564510345,157806.06865882874,314986.6461753845
frame_5,267636.65676116943,68089.85769748688,89497.34270572662,126971.63224220276,80279.70790863037,367524.80268478394
frame_6,278414.8156642914,60901.86536312103,93732.0739030838,166691.3479566574,98167.88136959076,302092.0157432556
frame_7,221432.6560497284,54597.95892238617,160250.723361969,219716.83204174042,99968.38867664337,244033.42604637146
frame_8,207702.35359668732,99499.08405542374,156552.13594436646,164811.46216392517,91973.06632995605,279461.89045906067
frame_9,157722.97978401184,108024.0085721016,94622.04575538635,103445.48523426056,168804.28791046143,367381.21509552
frame_10,133858.18898677826,86104.92944717407,107057.01261758804,179624.9896287918,167814.99981880188,325539.88695144653
frame_11,225965.52968025208,101120.12177705765,123208.79101753235,166839.0929698944,109055.79477548599,273810.6846809387
frame_12,235548.9432811737,64612.798392772675,137647.25625514984,120147.56351709366,157852.97751426697,284190.44613838196
frame_13,272892.41552352905,83984.3675494194,92158.40697288513,151789.78443145752,105358.69002342224,293816.32804870605
frame_14,147850.94559192657,99520.61623334885,95751.8145442009,191856.78660869598,177038.68448734283,287981.15253448486
frame_15,124676.83106660843,101256.8399310112,117101.92263126373,125722.58710861206,118128.6945939064,413113.14702033997
frame_16,142070.17421722412,64855.84378242493,103210.2108001709,201356.6792011261,135204.38969135284,353302.7172088623
frame_17,207345.21746635437,84342.14442968369,177864.03000354767,107760.33252477646,144572.46661186218,278115.80896377563
frame_18,150979.57849502563,91042.29509830475,122684.43405628204,84059.49920415878,186967.3728942871,364266.8128013611
frame_19,149843.76728534698,72074.294090271,131876.20043754578,177765.81645011902,135576.4865875244,332863.4202480316
frame_20,127460.07740497589,70513.23354244232,137823.4028816223,173364.5796775818,157255.73897361755,333582.96751976013
frame_21,190781.8615436554,68931.37097358704,120513.24546337128,113990.53037166595,155802.384018898,349980.59272766113
frame_22,116277.0539522171,90790.74114561081,124162.51003742218,150502.4880170822,207258.13508033752,311009.0494155884
frame_23,122446.9542503357,62521.15219831467,99780.66384792328,95977.08284854889,131610.30411720276,487663.8054847717
frame_24,202492.95234680176,78129.39584255219,102528.415620327,131964.59412574768,157202.69083976746,327681.9586753845
frame_25,163330.37614822388,73473.79624843597,108574.10728931427,218690.84239006042,188391.41726493835,247539.4755601883
frame_26,200465.81327915192,74751.56337022781,127872.00510501862,161801.15938186646,197307.2588443756,237802.192568779
frame_27,244921.9524860382,82261.40588521957,103660.50899028778,94879.1354894638,124926.46276950836,349350.54183006287
frame_28,163296.77402973175,59492.78175830841,123880.2894949913,190058.82740020752,102552.01160907745,360719.32315826416
frame_29,251372.8141784668,97190.46205282211,125770.86687088013,206347.19729423523,85773.0358839035,233545.58646678925
frame_30,220059.78226661682,74150.9422659874,81662.56546974182,158305.0936460495,164449.7513771057,301371.87242507935
frame_31,233983.27827453613,110563.11428546906,83569.30315494537,113161.45956516266,124269.70899105072,334453.13572883606
frame_32,156291.6785478592,88892.66848564148,139079.54096794128,154819.19050216675,117939.84472751617,342977.0767688751
frame_33,170709.58018302917,82295.51464319229,138455.06310462952,132057.68167972565,97747.0874786377,378735.0654602051
frame_34,121170.96036672592,78618.65311861038,89914.17288780212,96541.67294502258,160716.56346321106,453037.97721862793
frame_35,168572.0831155777,75349.52461719513,115212.44049072266,173349.20167922974,156781.00287914276,310735.7919216156
frame_36,216079.980134964,119620.69571018219,122983.00117254257,159128.26359272003,99125.87702274323,283062.1898174286
frame_37,160432.6069355011,91519.44518089294,138693.25816631317,200114.6674156189,92639.41645622253,316600.5611419678
frame_38,185126.6324520111,94853.07335853577,119007.75134563446,135338.2170200348,154470.98016738892,311203.39035987854
frame_39,209715.8581018448,79258.72504711151,115329.62322235107,227110.1474761963,74648.09715747833,293937.5340938568
frame_40,250144.54126358032,99630.9220790863,100289.4714474678,133328.28879356384,166085.69025993347,250521.06380462646
frame_41,119661.09275817871,117638.79656791687,99215.0604724884,159383.08835029602,189080.5959701538,315021.3360786438
frame_42,107622.429728508,58352.70509123802,126691.93744659424,168435.57357788086,210635.6918811798,328261.67345046997
frame_43,188915.25268554688,60887.21752166748,129847.13912010193,194656.49127960205,94254.68742847443,331439.19706344604
frame_44,110402.34565734863,100577.89087295532,175366.52088165283,98317.65294075012,174464.3747806549,340871.1850643158
frame_45,153418.00451278687,61972.297728061676,91828.8379907608,161566.24257564545,87709.90371704102,443504.6911239624
frame_46,158029.30295467377,47076.54565572739,122751.99592113495,242551.96750164032,129576.71284675598,300013.4527683258
frame_47,248597.8603363037,138838.0527496338,85990.23520946503,117964.43164348602,172851.8307209015,235757.58934020996
frame_48,216035.18724441528,99663.71953487396,67789.90477323532,204836.905002594,119616.52338504791,292057.8122138977
frame_49,195679.87322807312,89742.68287420273,96602.46968269348,152459.44261550903,170237.27297782898,295278.25117111206
frame_50,181646.79408073425,71367.74808168411,134721.14503383636,164737.31398582458,111364.88616466522,336162.0903015137
frame_51,194205.83546161652,66171.95904254913,96049.38328266144,174849.33137893677,169873.8932609558,298849.58267211914
frame_52,235283.70261192322,68985.65590381622,81475.25787353516,134806.12635612488,97554.65388298035,381894.6182727814
frame_53,169476.2259721756,94957.43364095688,131186.0978603363,161626.6369819641,97266.84540510178,345486.76013946533
frame_54,229171.66352272034,91747.87998199463,128975.80862045288,147554.4571876526,119238.04879188538,283312.1120929718
frame_55,173977.25582122803,52056.267857551575,81892.26686954498,178345.82924842834,114293.72429847717,399434.6559047699
frame_56,223272.71103858948,80731.66012763977,156755.92422485352,104578.30131053925,150854.37893867493,283807.03926086426
frame_57,198031.7234992981,75987.8009557724,116878.13699245453,195520.81823349,86893.99063587189,326687.5147819519
frame_58,246125.51927566528,78160.1071357727,149849.34031963348,119553.19344997406,74976.88382863998,331334.9485397339
frame_59,238346.1594581604,73017.32897758484,100649.3791937828,139267.50421524048,138098.8210439682,310620.7847595215
frame_60,189683.10952186584,110198.66168498993,102767.10987091064,119863.90501260757,115752.6969909668,361734.539270401
frame_61,257937.490940094,84959.53679084778,153877.21359729767,146032.9294204712,109423.51073026657,247769.3259716034
frame_62,226373.25525283813,84605.78322410583,99966.77935123444,154852.59890556335,114482.01537132263,319719.5529937744
frame_63,207493.8267469406,82428.88003587723,132710.59095859528,124112.91897296906,138425.26078224182,314828.5448551178
frame_64,224623.97813796997,64145.11799812317,124024.56998825073,110861.51003837585,111369.20005083084,364975.63123703003
frame_65,211004.03368473053,120115.64522981644,90699.88131523132,120350.23421049118,135864.0193939209,321966.17126464844
frame_66,182043.6716079712,87674.96049404144,154805.83906173706,235424.2503643036,87093.39052438736,252957.88049697876
frame_67,184940.48714637756,107825.24198293686,136832.74388313293,210274.6069431305,106549.52377080917,253577.38137245178
frame_68,147150.53141117096,54104.361683130264,117262.19952106476,232877.28428840637,165748.76010417938,282856.88161849976
frame_69,91350.57032108307,57208.47845077515,83749.65935945511,98581.31408691406,262912.392616272,406197.60751724243
frame_70,169011.02662086487,73067.96312332153,119914.63601589203,170430.9731721878,112141.9370174408,355433.4342479706
frame_71,268471.47941589355,74861.10925674438,98082.98200368881,209759.98044013977,89026.5703201294,259797.8711128235
frame_72,216178.86424064636,70824.66781139374,126855.23927211761,145138.53192329407,118679.83639240265,322322.8454589844
frame_73,207584.82813835144,64781.50188922882,114677.02686786652,172482.81836509705,194801.09214782715,245672.71769046783
frame_74,174809.7538948059,80590.02459049225,72463.82534503937,181293.74086856842,118130.31882047653,372712.31412887573
frame_75,239646.5688943863,63000.02336502075,116464.33919668198,155923.66456985474,142402.14228630066,282563.2691383362
frame_76,167022.6752758026,50737.04570531845,84322.69096374512,191493.79432201385,160465.43419361115,345958.3520889282
frame_77,113267.28761196136,65675.50450563431,164186.9992017746,178154.1407108307,202547.5949048996,276168.46561431885
frame_78,166483.98339748383,72117.44785308838,123840.48104286194,187943.84598731995,121441.36428833008,328172.86252975464
frame_79,143257.9904794693,74797.09386825562,73704.85365390778,172285.5567932129,94306.69993162155,441647.82762527466
frame_80,282159.2688560486,68790.95733165741,115404.12902832031,165746.5696334839,143417.23918914795,224481.85086250305
frame_81,151239.24612998962,87809.68189239502,129410.59470176697,183111.81664466858,130784.31785106659,317644.3576812744
frame_82,274587.5120162964,65409.1089963913,134895.26510238647,156661.9873046875,79779.252409935,288666.90397262573
frame_83,169532.56726264954,76359.1080904007,139758.05044174194,153031.17036819458,139413.32697868347,321905.79175949097
frame_84,201976.12047195435,81229.82084751129,89456.20059967041,215121.92487716675,101374.17912483215,310841.79878234863
frame_85,163410.7530117035,91558.93325805664,126725.25644302368,168430.6263923645,109193.66776943207,340680.7780265808
frame_86,176834.374666214,107154.2501449585,124388.9331817627,123401.67164802551,99509.77563858032,368710.9649181366
frame_87,154690.2358531952,66512.5846862793,81376.06084346771,201103.88100147247,116343.9229130745,379973.32215309143
frame_88,158753.72290611267,78805.14860153198,88001.10220909119,147072.86655902863,128310.78469753265,399056.3750267029
frame_89,129440.39702415466,42451.66480541229,142488.3008003235,227033.94293785095,158018.49961280823,300567.1799182892
frame_90,185451.55227184296,94473.30236434937,117343.27673912048,148452.7885913849,67099.34026002884,387179.7323226929
frame_91,186670.06492614746,73179.72183227539,124500.3342628479,140813.97652626038,141653.1801223755,333182.7521324158
frame_92,161647.05157279968,95133.54301452637,108149.2155790329,144579.29134368896,157477.76627540588,333013.1471157074
frame_93,249776.31866931915,92773.86963367462,70806.46604299545,156267.64297485352,137359.67874526978,293016.0164833069
frame_94,174389.00470733643,76413.8251543045,150321.30479812622,150125.1459121704,145159.61706638336,303591.13216400146
